obs_ID,study_ID,year_pub,es,var
obs001,(Wielebnowski 1999),1999,0.285513248,0.026315789
obs002,(Marchetti and Zehtindjiev 2009),2009,0.110446916,0.012195122
obs003,(Carter et al 2010),2010,0.677666068,0.037037037
obs004,(Kurvers et al 2009),2009,0.317229857,0.066666667
obs005,(Herborn et al 2011),2011,0.167550482,0.052631579
obs006,(Scheid and Noe 2010),2010,0.666995419,0.166666667
obs007,(Miller et al 2005; Miller and Mench 2005),2005,0.121595763,0.023255814
obs008,(Gosling 1998),1998,0.166522321,0.032258065
obs009,(Watts et al 2010),2010,0.308421065,0.071428571
obs010,(Herborn et al 2010),2010,0.112471866,0.008849558
obs011,(Nilsson et al 2010),2010,0.010000333,0.010309278
obs012,(Gabriel and Black 2010),2010,0.452558716,0.027027027
obs013,(Huntingford et al 2010),2010,0.647522845,0.0625
obs014,(Bergvall et al 2011),2011,0.618381314,0.083333333
obs015,(Moretz et al 2007),2007,0.199609496,0.037037037
obs016,(Moretz et al 2007),2007,0.040021354,0.047619048
obs017,(Moretz et al 2007),2007,0.280102561,0.037037037
obs018,(Ancona and Loughry 2009),2009,0.110446916,0.005319149
obs019,(Greenberg 1984),1984,0.801724935,0.5
obs020,(Carlstead et al 1999),1999,-0.040021354,0.01754386
obs021,(Dochtermann and Jenkins 2007),2007,0.289853534,0.0625
obs022,(Stapley and Keogh 2004),2004,1.270747062,0.037037037
obs023,(Mafli et al 2011),2011,0.102355961,0.045454545
obs024,(Garamszegi et al 2008; Garamszegi et al 2009b),2008,0.345074339,0.043478261
obs025,(Ruuskanen and Laaksonen 2010),2010,0.12464147,0.017857143
obs026,(Quinn and Cresswell 2005),2005,0.408266742,0.029411765
obs027,(Cote et al 2010),2010,0.276863823,0.004329004
obs028,(Wilson et al 2010),2010,-0.040021354,0.010526316
obs029,(Bell 2005),2005,0.037016898,0.025641026
obs030,(Bell 2005),2005,0.393065551,0.038461538
obs031,(Bell and Sih 2007),2007,0.143986873,0.008403361
obs032,(Bell and Stamps 2004),2004,0.108422867,0.058823529
obs033,(Bell and Stamps 2004),2004,0.483447067,0.034482759
obs034,(Bell et al 2010),2010,0.165494508,0.00621118
obs035,(Dingemanse et al 2007),2007,0.119566541,0.025641026
obs036,(Dingemanse et al 2007),2007,0.595724174,0.025641026
obs037,(Dzieweczynski and Crovo 2011),2011,0.179916485,0.037037037
obs038,(Huntingford 1976),1976,0.156259498,0.045454545
obs039,(Webster et al 2007),2007,1.127029026,0.037037037
obs040,(Wilson and Godin 2009),2009,0.638679839,0.01754386
obs041,(Wilson et al 2011a),2011,0.320545409,0.007633588
obs042,(Santillan-Doherty et al 2006),2006,0.599930345,0.034482759
obs043,(Weiss et al 2011),2011,0.123625981,0.009259259
obs044,(Rouff et al 2005),2005,0.309519604,0.020408163
obs045,(Carter et al 2009),2009,0.599930345,0.1
obs046,(Arnold et al 2005),2005,-0.357488589,0.019230769
obs047,(Colléter and Brown 2011),2011,0.274707811,0.04
obs048,(Callicrate et al 2011),2011,-0.084198409,0.25
obs049,(Evans et al 2010),2010,0.602745045,0.023809524
obs050,(Smith et al 2009),2009,0.789278299,0.058823529
obs051,(Lantová et al 2011),2011,0.42364893,0.017241379
obs052,(Korpela et al 2011),2011,0.485954906,0.005291005
obs053,(Schürch and Heg 2010),2010,0.720146435,0.055555556
obs054,(Schürch and Heg 2010),2010,0.950479381,0.083333333
obs055,(Fox and Millam 2010),2010,0.202732554,0.023255814
obs056,(Rödel et al 2008),2008,0.676133476,0.090909091
obs057,(Highfill et al 2010),2010,0.114497735,0.142857143
obs058,(Watson and Ward 1996),1996,0.493512743,0.023809524
obs059,(Réale et al 2000),2000,-0.020002667,0.018867925
obs060,(Anestis 2005),2005,-0.352962253,0.012987013
obs061,(Vazire et al 2007),2007,0.067100525,0.020408163
obs062,(Eriksson et al 2010),2010,0.365443754,0.076923077
obs063,(Eriksson et al 2010),2010,0.220505698,0.066666667
obs064,(Amy et al 2010),2010,0.650490389,0.066666667
obs065,(Carere et al 2005),2005,0.132774772,0.076923077
obs066,(Dingemanse and de Goede 2004),2004,0.39655799,0.013157895
obs067,(Dunn et al 2011),2011,-0.226810893,0.016393443
obs068,(Cole et al 2011),2011,0.346198637,0.025
obs069,(Hollander et al 2008),2008,-0.028007321,0.015384615
obs070,(Naguib et al 2010),2010,0.462352964,0.04
obs071,(Verbeek et al 1994; Verbeek et al 1996),1994,0.270403228,0.015625
obs072,(van Oers et al 2004a),2004,0.421270239,0.083333333
obs073,(van Oers et al 2005b),2005,0.416526303,0.02173913
obs074,(van Overveld and Matthysen 2010),2010,0.30512976,0.032258065
obs075,(Magnhagen 2007),2007,0.304034086,0.016393443
