obs_ID,study_ID,year_pub,es,var
obs001,Werren (1984),1994,0.093269519,0.034482759
obs002,King & D’Souza (2004),2004,-0.097305953,0.025
obs003,Meijer et al. (2005),2005,0.100335348,0.004878049
obs004,King (2002),2002,0.296383998,0.014285714
obs005,Abe et al. (2010),2010,0.784005935,0.083333333
obs006,Werren (1984),1994,0.093269519,0.034482759
obs007,King & D’Souza (2004),2004,-0.097305953,0.025
obs008,Meijer et al. (2005),2005,0.100335348,0.004878049
obs009,King (2002),2002,0.296383998,0.014285714
obs010,Abe et al. (2010),2010,0.784005935,0.083333333
