COMMON_NAME,SCIENTIFIC_NAME,TipLabel,class,order,family,adult_body_mass_g,female_body_mass_g,male_body_mass_g
Pied Goshawk,Accipiter albogularis,Accipiter_albogularis,Aves,Accipitriformes,Accipitridae,251.5,352.5,223
Shikra,Accipiter badius,Accipiter_badius,Aves,Accipitriformes,Accipitridae,140,168.5,125
Bicolored Hawk,Accipiter bicolor,Accipiter_bicolor,Aves,Accipitriformes,Accipitridae,345,390,212
New Britain Sparrowhawk,Accipiter brachyurus,Accipiter_brachyurus,Aves,Accipitriformes,Accipitridae,142,-999,142
Levant Sparrowhawk,Accipiter brevipes,Accipiter_brevipes,Aves,Accipitriformes,Accipitridae,203.5,230.5,170
Chestnut-flanked Sparrowhawk,Accipiter castanilius,Accipiter_castanilius,Aves,Accipitriformes,Accipitridae,159.375,176,142.5
Chilean Hawk,Accipiter chilensis,Accipiter_chilensis,Aves,Accipitriformes,Accipitridae,345,377,212
White-breasted Hawk,Accipiter chionogaster,Accipiter_chionogaster,Aves,Accipitriformes,Accipitridae,138.5,174,103
Collared Sparrowhawk,Accipiter cirrocephalus,Accipiter_cirrocephalus,Aves,Accipitriformes,Accipitridae,180,231,127.25
Cooper's Hawk,Accipiter cooperii,Accipiter_cooperii,Aves,Accipitriformes,Accipitridae,452,529,338.5
Rufous-necked Sparrowhawk,Accipiter erythrauchen,Accipiter_erythrauchen,Aves,Accipitriformes,Accipitridae,156,-999,156
Rufous-thighed Hawk,Accipiter erythronemius,Accipiter_erythronemius,Aves,Accipitriformes,Accipitridae,138.5,174,103
Red-thighed Sparrowhawk,Accipiter erythropus,Accipiter_erythropus,Aves,Accipitriformes,Accipitridae,107,146,84.7
Brown Goshawk,Accipiter fasciatus,Accipiter_fasciatus,Aves,Accipitriformes,Accipitridae,453.5,499.375,303.25
Frances's Sparrowhawk,Accipiter francesiae,Accipiter_francesiae,Aves,Accipitriformes,Accipitridae,135.25,154.25,119.5
Northern Goshawk,Accipiter gentilis,Accipiter_gentilis,Aves,Accipitriformes,Accipitridae,988.75,1117.333334,734
Sulawesi Goshawk,Accipiter griseiceps,Accipiter_griseiceps,Aves,Accipitriformes,Accipitridae,255.5,299,212
Japanese Sparrowhawk,Accipiter gularis,Accipiter_gularis,Aves,Accipitriformes,Accipitridae,118.75,140.75,103.5
Gundlach's Hawk,Accipiter gundlachi,Accipiter_gundlachi,Aves,Accipitriformes,Accipitridae,675,675,-999
White-bellied Goshawk,Accipiter haplochrous,Accipiter_haplochrous,Aves,Accipitriformes,Accipitridae,240.5,254,157
Henst's Goshawk,Accipiter henstii,Accipiter_henstii,Aves,Accipitriformes,Accipitridae,1050,1050,-999
Imitator Goshawk,Accipiter imitator,Accipiter_imitator,Aves,Accipitriformes,Accipitridae,237.75,238,208
Slaty-mantled Goshawk,Accipiter luteoschistaceus,Accipiter_luteoschistaceus,Aves,Accipitriformes,Accipitridae,213.75,-999,213.75
Madagascan Sparrowhawk,Accipiter madagascariensis,Accipiter_madagascariensis,Aves,Accipitriformes,Accipitridae,182,209.5,156
Black-mantled Goshawk,Accipiter melanochlamys,Accipiter_melanochlamys,Aves,Accipitriformes,Accipitridae,269,294,-999
Black Sparrowhawk,Accipiter melanoleucus,Accipiter_melanoleucus,Aves,Accipitriformes,Accipitridae,701.8833333,865,550
Meyer's Goshawk,Accipiter meyerianus,Accipiter_meyerianus,Aves,Accipitriformes,Accipitridae,815,1100,530
Little Sparrowhawk,Accipiter minullus,Accipiter_minullus,Aves,Accipitriformes,Accipitridae,84.05,97.25,80.9
Eurasian Sparrowhawk,Accipiter nisus,Accipiter_nisus,Aves,Accipitriformes,Accipitridae,212,290,147
Grey Goshawk,Accipiter novaehollandiae,Accipiter_novaehollandiae,Aves,Accipitriformes,Accipitridae,479.5833333,716,312
Ovambo Sparrowhawk,Accipiter ovampensis,Accipiter_ovampensis,Aves,Accipitriformes,Accipitridae,199.1666667,260,140
Grey-headed Goshawk,Accipiter poliocephalus,Accipiter_poliocephalus,Aves,Accipitriformes,Accipitridae,225,253,205
Vinous-breasted Sparrowhawk,Accipiter rhodogaster,Accipiter_rhodogaster,Aves,Accipitriformes,Accipitridae,188.5,264,113
Fiji Goshawk,Accipiter rufitorques,Accipiter_rufitorques,Aves,Accipitriformes,Accipitridae,209,-999,209
Rufous-breasted Sparrowhawk,Accipiter rufiventris,Accipiter_rufiventris,Aves,Accipitriformes,Accipitridae,198,-999,-999
Chinese Sparrowhawk,Accipiter soloensis,Accipiter_soloensis,Aves,Accipitriformes,Accipitridae,161,192.5,149.5
Sharp-shinned Hawk,Accipiter striatus,Accipiter_striatus,Aves,Accipitriformes,Accipitridae,138.5,174,103
Tiny Hawk,Accipiter superciliosus,Accipiter_superciliosus,Aves,Accipitriformes,Accipitridae,73.9,134,73.875
African Goshawk,Accipiter tachiro,Accipiter_tachiro,Aves,Accipitriformes,Accipitridae,298.5,340.5,203.5
Red-chested Goshawk,Accipiter toussenelii,Accipiter_toussenelii,Aves,Accipitriformes,Accipitridae,298.5,340.5,203.5
Spot-tailed Sparrowhawk,Accipiter trinotatus,Accipiter_trinotatus,Aves,Accipitriformes,Accipitridae,146.25,-999,-999
Crested Goshawk,Accipiter trivirgatus,Accipiter_trivirgatus,Aves,Accipitriformes,Accipitridae,276,353,199
Plain-breasted Hawk,Accipiter ventralis,Accipiter_ventralis,Aves,Accipitriformes,Accipitridae,138.5,174,103
Besra,Accipiter virgatus,Accipiter_virgatus,Aves,Accipitriformes,Accipitridae,113.5,141.5,101.825
Cinereous Vulture,Aegypius monachus,Aegypius_monachus,Aves,Accipitriformes,Accipitridae,9625,10000,9250
Spanish Imperial Eagle,Aquila adalberti,Aquila_adalberti,Aves,Accipitriformes,Accipitridae,3262,3873,2624
Wedge-tailed Eagle,Aquila audax,Aquila_audax,Aves,Accipitriformes,Accipitridae,3466,3855,3041.5
Golden Eagle,Aquila chrysaetos,Aquila_chrysaetos,Aves,Accipitriformes,Accipitridae,4383,4692.25,3708.25
Bonelli's Eagle,Aquila fasciata,Aquila_fasciatus,Aves,Accipitriformes,Accipitridae,2000,2500,1560
Gurney's Eagle,Aquila gurneyi,Aquila_gurneyi,Aves,Accipitriformes,Accipitridae,3060,3060,-999
Eastern Imperial Eagle,Aquila heliaca,Aquila_heliaca,Aves,Accipitriformes,Accipitridae,3262,3845,2949
Steppe Eagle,Aquila nipalensis,Aquila_nipalensis,Aves,Accipitriformes,Accipitridae,2534.5,2987,2333
Tawny Eagle,Aquila rapax,Aquila_rapax,Aves,Accipitriformes,Accipitridae,2347,2405.5,2034.6
Verreaux's Eagle,Aquila verreauxii,Aquila_verreauxii,Aves,Accipitriformes,Accipitridae,4195,4355.5,3665
African Cuckoo-Hawk,Aviceda cuculoides,Aviceda_cuculoides,Aves,Accipitriformes,Accipitridae,275.75,-999,-999
Jerdon's Baza,Aviceda jerdoni,Aviceda_jerdoni,Aves,Accipitriformes,Accipitridae,363,-999,363
Black Baza,Aviceda leuphotes,Aviceda_leuphotes,Aves,Accipitriformes,Accipitridae,196,-999,-999
Pacific Baza,Aviceda subcristata,Aviceda_subcristata,Aves,Accipitriformes,Accipitridae,328,346.875,308.75
