SCIENTIFIC_NAME,Order,Family,brain_size_mm3,body_mass_g,brain_residual,migration_status,diet_breadth,development_mode,development_time_days
Abroscopus_albogularis,PASSERIFORMES (PASSERIDA),Sylviidae,0.32,5,0.250822788,Resident,0,altricial,NA
Acanthagenys_rufogularis,PASSERIFORMES (MELIPHAGIDA),Meliphagidae,1.16,47.8,0.272635457,Resident,0.146766321,altricial,31
Acanthiza_chrysorrhoa,PASSERIFORMES (MELIPHAGIDA),Acanthizidae,0.43,9.4,0.192273585,Resident,0.15540941,altricial,34.9
Acanthiza_ewingii,PASSERIFORMES (MELIPHAGIDA),Acanthizidae,0.63,4,1.053359173,Resident,0.17491013,altricial,NA
Acanthiza_inornata,PASSERIFORMES (MELIPHAGIDA),Acanthizidae,0.44,8.5,0.271703387,Resident,0.109314459,altricial,37.5
Acanthiza_lineata,PASSERIFORMES (MELIPHAGIDA),Acanthizidae,0.51,6.7,0.552785158,Resident,0.08969136,altricial,34.8
Acanthiza_nana,PASSERIFORMES (MELIPHAGIDA),Acanthizidae,0.37,7.25,0.18763419,Resident,0.155475671,altricial,NA
Acanthiza_pusilla,PASSERIFORMES (MELIPHAGIDA),Acanthizidae,0.45,8.15,0.317756641,Resident,0.098964812,altricial,33.8
Acanthiza_reguloides,PASSERIFORMES (MELIPHAGIDA),Acanthizidae,0.39,7.5,0.221266137,Resident,0.243506176,altricial,28.4
Acanthiza_uropygialis,PASSERIFORMES (MELIPHAGIDA),Acanthizidae,0.36,6.4,0.230168177,Resident,0.15540941,altricial,38
Acanthorhynchus_tenuirostris,PASSERIFORMES (MELIPHAGIDA),Meliphagidae,0.48,10.5,0.240213895,Resident,0.122978767,altricial,28.1
Accipiter_cirrocephalus,ACCIPITRIFORMES,Accipitridae,2.39,172,0.277429596,Resident,0.00643964,altricial,64.1
Accipiter_cooperii,ACCIPITRIFORMES,Accipitridae,4.7,439,0.428232006,Migrant,0.00163104,altricial,64.75
Accipiter_fasciatus,ACCIPITRIFORMES,Accipitridae,4.5,380.25,0.465316436,Resident,0.007817787,altricial,60.75
Accipiter_gentilis,ACCIPITRIFORMES,Accipitridae,7.88,901.67,0.541366387,Resident,0.004385685,altricial,71.15
Accipiter_haplochrous,ACCIPITRIFORMES,Accipitridae,3.91,204.5,0.672615027,Resident,0.007989782,altricial,NA
Accipiter_novaehollandiae,ACCIPITRIFORMES,Accipitridae,4.74,558.08,0.302114446,Resident,0.007817787,altricial,70
Accipiter_striatus,ACCIPITRIFORMES,Accipitridae,2.23,135.73,0.340948893,Migrant,0.002444749,altricial,57.5
Aceros_cassidix,BUCEROTIFORMES,Bucerotidae,18.19,2360,0.838332281,Resident,0.067720216,altricial,133.5
Aceros_leucocephalus,BUCEROTIFORMES,Bucerotidae,12.81,1086,0.922952487,Resident,0.063341677,altricial,92
Aceros_plicatus,BUCEROTIFORMES,Bucerotidae,15.42,1706.5,0.854944673,Resident,0.101598035,altricial,NA
Aceros_undulatus,BUCEROTIFORMES,Bucerotidae,18.25,2343.75,0.845500123,Resident,0.080427475,altricial,132.5
Acridotheres_tristis,PASSERIFORMES (PASSERIDA),Sturnidae,2.48,118.25,0.524520623,Resident,0.08425398,altricial,39.3
Acrocephalus_arundinaceus,PASSERIFORMES (PASSERIDA),Sylviidae,0.91,26.75,0.355440727,Migrant,0.027090525,altricial,27
Acrocephalus_schoenobaenus,PASSERIFORMES (PASSERIDA),Sylviidae,0.45,10.8,0.159877316,Migrant,0.080595982,altricial,27.5
Acryllium_vulturinum,GALLIFORMES,Numididae,4.55,1330,-0.225806843,Resident,NA,precocial,27.6
Actitis_hypoleucos,CHARADRIIFORMES,Scolopacidae,0.86,48,-0.028948961,Migrant,0.041203391,precocial,30.3
Actitis_macularius,CHARADRIIFORMES,Scolopacidae,0.68,48.24,-0.266585535,Migrant,0.004681652,precocial,30.3
Aechmophorus_occidentalis,PODICIPEDIFORMES,Podicipedidae,3.71,1147.72,-0.347240282,Migrant,0.012588441,precocial,23.1
Aegithalos_concinnus,PASSERIFORMES (PASSERIDA),Aegithalidae,0.37,6.1,0.284490432,Resident,0.073084121,altricial,29.25
Aegithina_tiphia,PASSERIFORMES (CORVIDA),Aegithinidae,0.67,12,0.498821902,Resident,0,altricial,NA
Aegolius_acadicus,STRIGIFORMES,Strigidae,3.36,73.12,1.097776201,Migrant,0.002847657,altricial,56.25
Aegolius_funereus,STRIGIFORMES,Strigidae,4.02,91.17,1.153392535,Resident,0.002847657,altricial,59.35
Aegotheles_cristatus,APODIFORMES,Aegothelidae,1.42,42.8,0.53683307,Resident,0,altricial,53
Aegypius_monachus,ACCIPITRIFORMES,Accipitridae,28.25,9625,0.490244373,Migrant,0.002607511,altricial,158.5
Aeronautes_saxatalis,APODIFORMES,Apodidae,0.67,31.2,-0.037023169,Migrant,0,altricial,67
Aethia_cristatella,CHARADRIIFORMES,Alcidae,2.47,259.5,0.079720998,Migrant,0.004681652,precocial,66
Aethia_psittacula,CHARADRIIFORMES,Alcidae,2.55,270,0.089352169,Migrant,0.010621497,precocial,70
Aethia_pusilla,CHARADRIIFORMES,Alcidae,1.48,84.6,0.196095416,Migrant,0,precocial,57
Aethopyga_nipalensis,PASSERIFORMES (PASSERIDA),Nectariniidae,0.33,6,0.179349614,Resident,0.122978767,altricial,NA
Agapornis_canus,PSITTACIFORMES,Psittacidae,1.15,26.5,0.594779059,Resident,0.169333175,altricial,66.05
Agapornis_fischeri,PSITTACIFORMES,Psittacidae,1.95,48.3,0.786209247,Migrant,0.169333175,altricial,61.05
