ebird_COMMON_NAME,ebird_SCIENTIFIC_NAME,order,family,TipLabel
Common Ostrich,Struthio camelus,Struthioniformes,Struthionidae (Ostriches),Struthio_camelus
Somali Ostrich,Struthio molybdophanes,Struthioniformes,Struthionidae (Ostriches),NA
Greater Rhea,Rhea americana,Rheiformes,Rheidae (Rheas),Rhea_americana
Lesser Rhea,Rhea pennata,Rheiformes,Rheidae (Rheas),Rhea_pennata
Tawny-breasted Tinamou,Nothocercus julius,Tinamiformes,Tinamidae (Tinamous),Nothocercus_julius
Highland Tinamou,Nothocercus bonapartei,Tinamiformes,Tinamidae (Tinamous),Nothocercus_bonapartei
Hooded Tinamou,Nothocercus nigrocapillus,Tinamiformes,Tinamidae (Tinamous),Nothocercus_nigrocapillus
Gray Tinamou,Tinamus tao,Tinamiformes,Tinamidae (Tinamous),Tinamus_tao
Solitary Tinamou,Tinamus solitarius,Tinamiformes,Tinamidae (Tinamous),Tinamus_solitarius
Black Tinamou,Tinamus osgoodi,Tinamiformes,Tinamidae (Tinamous),Tinamus_osgoodi
Great Tinamou,Tinamus major,Tinamiformes,Tinamidae (Tinamous),Tinamus_major
White-throated Tinamou,Tinamus guttatus,Tinamiformes,Tinamidae (Tinamous),Tinamus_guttatus
Cinereous Tinamou,Crypturellus cinereus,Tinamiformes,Tinamidae (Tinamous),Crypturellus_cinereus
Berlepsch's Tinamou,Crypturellus berlepschi,Tinamiformes,Tinamidae (Tinamous),Crypturellus_berlepschi
Little Tinamou,Crypturellus soui,Tinamiformes,Tinamidae (Tinamous),Crypturellus_soui
Tepui Tinamou,Crypturellus ptaritepui,Tinamiformes,Tinamidae (Tinamous),Crypturellus_ptaritepui
Brown Tinamou,Crypturellus obsoletus,Tinamiformes,Tinamidae (Tinamous),Crypturellus_obsoletus
Undulated Tinamou,Crypturellus undulatus,Tinamiformes,Tinamidae (Tinamous),Crypturellus_undulatus
Pale-browed Tinamou,Crypturellus transfasciatus,Tinamiformes,Tinamidae (Tinamous),Crypturellus_transfasciatus
Brazilian Tinamou,Crypturellus strigulosus,Tinamiformes,Tinamidae (Tinamous),Crypturellus_strigulosus
Gray-legged Tinamou,Crypturellus duidae,Tinamiformes,Tinamidae (Tinamous),Crypturellus_duidae
Red-legged Tinamou,Crypturellus erythropus,Tinamiformes,Tinamidae (Tinamous),Crypturellus_erythropus
Yellow-legged Tinamou,Crypturellus noctivagus,Tinamiformes,Tinamidae (Tinamous),Crypturellus_noctivagus
Black-capped Tinamou,Crypturellus atrocapillus,Tinamiformes,Tinamidae (Tinamous),Crypturellus_atrocapillus
Slaty-breasted Tinamou,Crypturellus boucardi,Tinamiformes,Tinamidae (Tinamous),Crypturellus_boucardi
Choco Tinamou,Crypturellus kerriae,Tinamiformes,Tinamidae (Tinamous),Crypturellus_kerriae
Variegated Tinamou,Crypturellus variegatus,Tinamiformes,Tinamidae (Tinamous),Crypturellus_variegatus
Thicket Tinamou,Crypturellus cinnamomeus,Tinamiformes,Tinamidae (Tinamous),Crypturellus_cinnamomeus
Rusty Tinamou,Crypturellus brevirostris,Tinamiformes,Tinamidae (Tinamous),Crypturellus_brevirostris
Bartlett's Tinamou,Crypturellus bartletti,Tinamiformes,Tinamidae (Tinamous),Crypturellus_bartletti
Small-billed Tinamou,Crypturellus parvirostris,Tinamiformes,Tinamidae (Tinamous),Crypturellus_parvirostris
Barred Tinamou,Crypturellus casiquiare,Tinamiformes,Tinamidae (Tinamous),Crypturellus_casiquiare
Tataupa Tinamou,Crypturellus tataupa,Tinamiformes,Tinamidae (Tinamous),Crypturellus_tataupa
Red-winged Tinamou,Rhynchotus rufescens,Tinamiformes,Tinamidae (Tinamous),Rhynchotus_rufescens
Huayco Tinamou,Rhynchotus maculicollis,Tinamiformes,Tinamidae (Tinamous),Rhynchotus_maculicollis
Taczanowski's Tinamou,Nothoprocta taczanowskii,Tinamiformes,Tinamidae (Tinamous),Nothoprocta_taczanowskii
Ornate Tinamou,Nothoprocta ornata,Tinamiformes,Tinamidae (Tinamous),Nothoprocta_ornata
Chilean Tinamou,Nothoprocta perdicaria,Tinamiformes,Tinamidae (Tinamous),Nothoprocta_perdicaria
Brushland Tinamou,Nothoprocta cinerascens,Tinamiformes,Tinamidae (Tinamous),Nothoprocta_cinerascens
Andean Tinamou,Nothoprocta pentlandii,Tinamiformes,Tinamidae (Tinamous),Nothoprocta_pentlandii
Curve-billed Tinamou,Nothoprocta curvirostris,Tinamiformes,Tinamidae (Tinamous),Nothoprocta_curvirostris
White-bellied Nothura,Nothura boraquira,Tinamiformes,Tinamidae (Tinamous),Nothura_boraquira
Lesser Nothura,Nothura minor,Tinamiformes,Tinamidae (Tinamous),Nothura_minor
Darwin's Nothura,Nothura darwinii,Tinamiformes,Tinamidae (Tinamous),Nothura_darwinii
Spotted Nothura,Nothura maculosa,Tinamiformes,Tinamidae (Tinamous),Nothura_maculosa
Chaco Nothura,Nothura chacoensis,Tinamiformes,Tinamidae (Tinamous),Nothura_chacoensis
Dwarf Tinamou,Taoniscus nanus,Tinamiformes,Tinamidae (Tinamous),Taoniscus_nanus
Elegant Crested-Tinamou,Eudromia elegans,Tinamiformes,Tinamidae (Tinamous),Eudromia_elegans
Quebracho Crested-Tinamou,Eudromia formosa,Tinamiformes,Tinamidae (Tinamous),Eudromia_formosa
Puna Tinamou,Tinamotis pentlandii,Tinamiformes,Tinamidae (Tinamous),Tinamotis_pentlandii
Patagonian Tinamou,Tinamotis ingoufi,Tinamiformes,Tinamidae (Tinamous),Tinamotis_ingoufi
Southern Cassowary,Casuarius casuarius,Casuariiformes,Casuariidae (Cassowaries and Emu),Casuarius_casuarius
Dwarf Cassowary,Casuarius bennetti,Casuariiformes,Casuariidae (Cassowaries and Emu),Casuarius_bennetti
Northern Cassowary,Casuarius unappendiculatus,Casuariiformes,Casuariidae (Cassowaries and Emu),Casuarius_unappendiculatus
Emu,Dromaius novaehollandiae,Casuariiformes,Casuariidae (Cassowaries and Emu),Dromaius_novaehollandiae
Southern Brown Kiwi,Apteryx australis,Apterygiformes,Apterygidae (Kiwis),Apteryx_australis
Okarito Brown Kiwi,Apteryx rowi,Apterygiformes,Apterygidae (Kiwis),NA
North Island Brown Kiwi,Apteryx mantelli,Apterygiformes,Apterygidae (Kiwis),Apteryx_mantelli
Little Spotted Kiwi,Apteryx owenii,Apterygiformes,Apterygidae (Kiwis),Apteryx_owenii
Great Spotted Kiwi,Apteryx haastii,Apterygiformes,Apterygidae (Kiwis),Apteryx_haastii
Horned Screamer,Anhima cornuta,Anseriformes,Anhimidae (Screamers),Anhima_cornuta
Southern Screamer,Chauna torquata,Anseriformes,Anhimidae (Screamers),Chauna_torquata
Northern Screamer,Chauna chavaria,Anseriformes,Anhimidae (Screamers),Chauna_chavaria
Magpie Goose,Anseranas semipalmata,Anseriformes,Anseranatidae (Magpie Goose),Anseranas_semipalmata
Spotted Whistling-Duck,Dendrocygna guttata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna_guttata
Plumed Whistling-Duck,Dendrocygna eytoni,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna_eytoni
White-faced Whistling-Duck,Dendrocygna viduata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna_viduata
Black-bellied Whistling-Duck,Dendrocygna autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna_autumnalis
