Binomial,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Beak_PC1,Beak_PC2,Beak_PC3,Beak_PC4,Realm,TrophicLevel,TrophicNiche,ForagingNiche,
Abeillia_abeillei,-4.147189403,-0.486051901,0.717943952,-0.50053266,-0.443798493,-0.087093212,-0.469908694,-0.321175548,-0.075071218,-1.860982565,0.9876274,-0.409248845,0.165533946,Neotropic,Herbivore,Nectarivore,Nectarivore aerial,
Abroscopus_albogularis,-3.120944891,0.324100669,-0.159078922,-0.043106236,0.275685028,-0.059944686,0.174917212,-0.088513878,0.035766733,-1.717088632,-0.121698865,0.149835936,-0.04766208,Indo_Malay,Carnivore,Invertivore,Invertivore glean arboreal,
Abroscopus_schisticeps,-3.149217627,0.422665955,-0.21505026,-0.107047723,0.29391306,-0.02742925,0.102600409,-0.075940765,0.012847592,-1.817145284,-0.1396738,0.080106676,-0.023305953,Indo_Malay,Carnivore,Invertivore,Invertivore glean arboreal,
Abroscopus_superciliaris,-2.60841506,-0.006795472,-0.02031313,-0.029839987,0.283498851,0.088849164,0.11689816,0.008324283,0.000293804,-1.221006983,0.057479856,0.104713682,0.036213417,Indo_Malay,Carnivore,Invertivore,Invertivore glean arboreal,
Aburria_aburri,4.039849011,1.154167899,-0.152761562,-0.508403725,-0.203767662,-0.157020311,0.116997733,0.208261785,0.006971019,0.891459821,-0.127495798,0.084315816,-0.234310482,Neotropic,Herbivore,Frugivore,Fugivore glean,
Acanthagenys_rufogularis,-0.044697123,0.247753694,-0.055385884,-0.539363151,0.019807398,-0.189723239,-0.103727451,0.046334204,0.158523002,-0.306532401,0.271303974,-0.136822013,-0.20795202,Australian,Herbivore,Omnivore,NA,
Acanthidops_bairdii,-1.360040819,-0.157776923,-0.027980546,0.077741774,0.281796178,0.005223349,-0.138569989,-0.012156421,-0.036327316,-0.473672541,-0.003395864,-0.149940766,0.087432448,Neotropic,Omnivore,Invertivore,Invertivore glean arboreal,
Acanthisitta_chloris,-2.844999672,0.193115128,0.508703685,0.21781932,0.362970372,0.240671173,0.099522257,-0.037079762,0.059065004,-1.503506669,0.157506463,0.076663911,-0.057744772,Australian,Carnivore,Invertivore,Invertivore bark,
Acanthiza_apicalis,-2.611429,0.375626818,0.017674369,-0.100773768,0.284651164,-0.054220565,-0.080873971,-0.01512483,-0.02451992,-1.557312301,0.015507634,-0.106624894,0.009298527,Australian,Carnivore,Invertivore,Invertivore glean arboreal,
Acanthiza_chrysorrhoa,-2.418803789,0.399233325,0.204850822,-0.098437699,0.207985465,0.143722118,-0.091076604,0.053446955,0.031513169,-1.516765654,0.12824551,-0.107056263,-0.035316402,Australian,Carnivore,Invertivore,Invertivore ground,
