binomial,class,body_mass_median,litter_clutch_size,activity,hab_breadth,volant,diet_5cat
Abditomys latidens,Mammalia,268.09,NA,2,2,1,1
Abeillia abeillei,Aves,2.7,2,1,2,2,2
Abeomelomys sevia,Mammalia,54.88,1,2,2,1,1
Abrawayaomys ruschii,Mammalia,62.99,NA,2,1,1,1
Abrocoma bennettii,Mammalia,250.5,3.93,2,1,1,1
Abrocoma boliviensis,Mammalia,158,NA,2,2,1,1
Abrocoma budini,Mammalia,214.69,1.995,2,2,1,1
Abrocoma cinerea,Mammalia,221.82,2.0925,2,2,1,1
Abrocoma famatina,Mammalia,214.69,1.995,2,2,1,1
Abrocoma shistacea,Mammalia,214.69,1.995,2,2,1,1
Abrocoma uspallata,Mammalia,189.48465,NA,2,3,1,1
Abrocoma vaccarum,Mammalia,221.82,1.995,2,1,1,1
Abroscopus albogularis,Aves,4.84,3.9,1,2,2,4
Abroscopus schisticeps,Aves,4.775,4.5,1,1,2,4
Abroscopus superciliaris,Aves,6.49,3.2,1,2,2,4
Abrothrix andinus,Mammalia,24.91,NA,2,2,1,1
Abrothrix hershkovitzi,Mammalia,30.96,NA,2,NA,1,1
Abrothrix illuteus,Mammalia,47.79,NA,2,1,1,1
Abrothrix jelskii,Mammalia,34.5,NA,2,5,1,1
Abrothrix lanosus,Mammalia,27.83,NA,2,2,1,1
Abrothrix longipilis,Mammalia,38.86,4.2725,2,5,1,1
Abrothrix markhami,Mammalia,29.03,5.42,2,NA,1,1
Abrothrix olivaceus,Mammalia,24.52,5.38,2,3,1,1
Abrothrix sanborni,Mammalia,24.7,NA,2,1,1,1
Aburria aburri,Aves,1366.915,NA,1,3,2,2
Acanthagenys rufogularis,Aves,47.8,2.3,1,6,2,5
Acanthidops bairdi,Aves,16,NA,NA,2,2,NA
Acanthisitta chloris,Aves,6.7175,4,1,4,2,4
Acanthiza apicalis,Aves,7.56,NA,1,10,2,4
Acanthiza chrysorrhoa,Aves,9.3325,3.5,1,10,2,4
Acanthiza ewingii,Aves,6.925,3.5,1,6,2,4
Acanthiza inornata,Aves,7,3.5,1,5,2,4
Acanthiza iredalei,Aves,5.92,3,1,3,2,4
Acanthiza katherina,Aves,7.025,2.25,1,2,2,4
Acanthiza lineata,Aves,6.975,3,1,9,2,4
Acanthiza murina,Aves,8.4,2,1,1,2,4
Acanthiza nana,Aves,6.27,3,1,9,2,4
Acanthiza pusilla,Aves,7.61,2.7,1,11,2,4
Acanthiza reguloides,Aves,7.7,3.7,1,5,2,4
Acanthiza robustirostris,Aves,6.075,2.7,1,3,2,4
Acanthiza uropygialis,Aves,6.375,3,1,6,2,4
Acanthorhynchus superciliosus,Aves,9.735,1.48,1,6,2,2
Acanthorhynchus tenuirostris,Aves,10.11375,2.1,1,8,2,5
Acanthornis magna,Aves,10.19,3.25,1,2,2,4
Accipiter albogularis,Aves,250.125,NA,1,5,2,3
Accipiter badius,Aves,135.575,3.25,1,8,2,3
Accipiter bicolor,Aves,316.27,2.7,1,4,2,3
Accipiter brachyurus,Aves,142,NA,1,2,2,3
Accipiter brevipes,Aves,194.99,4,1,8,2,3
Accipiter butleri,Aves,332.94,NA,1,1,2,3
Accipiter castanilius,Aves,158.4425,NA,1,1,2,3
Accipiter cirrocephalus,Aves,172.865,3.25,1,9,2,3
Accipiter collaris,Aves,332.94,NA,1,1,2,3
Accipiter cooperii,Aves,440.835,4.35,1,7,2,3
Accipiter erythrauchen,Aves,156,NA,1,3,2,3
Accipiter erythropus,Aves,109.1,2,1,3,2,3
Accipiter fasciatus,Aves,406.08,3,1,7,2,3
Accipiter francesiae,Aves,136.035,3,1,6,2,4
Accipiter gentilis,Aves,927.395,3.5,1,4,2,3
Accipiter griseiceps,Aves,253.63,NA,1,4,2,3
Accipiter gularis,Aves,119.705,3.2,1,10,2,3
Accipiter gundlachi,Aves,675,3.75,1,5,2,3
Accipiter haplochrous,Aves,219.455,3,1,5,2,3
Accipiter henicogrammus,Aves,332.94,NA,1,2,2,3
Accipiter henstii,Aves,1050,2,1,5,2,3
Accipiter hiogaster,Aves,342.75,2.725,NA,3,2,NA
Accipiter imitator,Aves,230.12,NA,1,2,2,3
Accipiter luteoschistaceus,Aves,213.875,NA,1,4,2,3
Accipiter madagascariensis,Aves,181.205,3,1,4,2,3
Accipiter melanochlamys,Aves,267,NA,1,3,2,3
Accipiter melanoleucus,Aves,700.4366667,2.8,1,6,2,3
Accipiter meyerianus,Aves,789.27,3,1,2,2,3
Accipiter minullus,Aves,85.74,2,1,7,2,3
Accipiter nanus,Aves,332.94,NA,1,2,2,4
Accipiter nisus,Aves,216.395,4.75,1,12,2,3
Accipiter novaehollandiae,Aves,402.8216667,2.725,1,3,2,3
Accipiter ovampensis,Aves,197.0833334,3,1,4,2,3
Accipiter poliocephalus,Aves,219.88,1,1,3,2,3
Accipiter poliogaster,Aves,1369.41,NA,1,1,2,3
Accipiter princeps,Aves,332.94,NA,1,2,2,5
Accipiter rhodogaster,Aves,180.605,NA,1,4,2,3
Accipiter rufitorques,Aves,209,2.7,1,4,2,3
Accipiter rufiventris,Aves,198,3,1,6,2,3
Accipiter soloensis,Aves,162.885,3.5,1,6,2,3
Accipiter striatus,Aves,134.545,4.25,1,10,2,3
Accipiter superciliosus,Aves,86.705,1.85,1,2,2,3
Accipiter sylvestris,Aves,316.2013652,NA,NA,3,2,NA
Accipiter tachiro,Aves,339.75,2.45,1,6,2,3
Accipiter toussenelii,Aves,273.895,2.45,1,6,2,3
Accipiter trinotatus,Aves,146.125,NA,1,2,2,3
Accipiter trivirgatus,Aves,270.52,2,1,4,2,3
Accipiter virgatus,Aves,115.245,3.5,1,5,2,3
Acerodon celebensis,Mammalia,384.84,0.98,2,2,2,2
Acerodon humilis,Mammalia,462.47,NA,2,1,2,2
Acerodon jubatus,Mammalia,1087.04,1,2,2,2,2
Acerodon leucotis,Mammalia,462.47,NA,2,1,2,2
Acerodon mackloti,Mammalia,467.93,0.98,2,2,2,2
Aceros nipalensis,Aves,2385,1.45,1,2,2,2
Achaetops pycnopygius,Aves,28.225,NA,1,3,2,4
Acinonyx jubatus,Mammalia,50577.92,3.16,1,6,1,3
Acomys airensis,Mammalia,38.657,2.47,2,5,1,1
Acomys cahirinus,Mammalia,45.2,2.45,2,3,1,1
Acomys cilicicus,Mammalia,38.305,NA,2,1,1,1
Acomys cineraceus,Mammalia,30.59,2.47,2,5,1,1
Acomys dimidiatus,Mammalia,45.2,2.47,2,7,1,1
Acomys ignitus,Mammalia,24,2.47,2,2,1,1
Acomys johannis,Mammalia,43.6,2.47,2,3,1,1
Acomys kempi,Mammalia,22,2.47,2,2,1,1
Acomys louisae,Mammalia,20.2,NA,2,3,1,1
Acomys minous,Mammalia,62.5,2.47,2,2,1,1
Acomys mullah,Mammalia,45.2,2.47,2,2,1,1
Acomys nesiotes,Mammalia,36.66833977,2.47,2,1,1,1
Acomys percivali,Mammalia,21.99,NA,2,3,1,1
Acomys russatus,Mammalia,49.75,2.5,2,1,1,5
Acomys seurati,Mammalia,38.657,2.47,2,2,1,1
Acomys spinosissimus,Mammalia,26.5,2.71,2,2,1,1
Acomys subspinosus,Mammalia,21.92,NA,2,2,1,1
Acomys wilsoni,Mammalia,18.5,2.29,2,3,1,1
Aconaemys fuscus,Mammalia,129.95,3.23,2,2,1,1
Aconaemys porteri,Mammalia,113.5,3.23,2,2,1,1
Aconaemys sagei,Mammalia,96.49,NA,1,2,1,1
Acridotheres albocinctus,Aves,93.56,4,1,3,2,5
Acridotheres cinereus,Aves,89.28,4.2,1,2,2,4
Acridotheres cristatellus,Aves,116.405,4.25,1,5,2,5
Acridotheres fuscus,Aves,83.9,4.2,1,3,2,5
Acridotheres ginginianus,Aves,71.5,4.9,1,6,2,5
Acridotheres grandis,Aves,98.955,4.9,1,4,2,4
Acridotheres tristis,Aves,114.965,4.5,1,7,2,5
Acrobates pygmaeus,Mammalia,13,2.9,2,2,1,4
Acrobatornis fonsecai,Aves,13.65,NA,1,2,2,4
Acrocephalus aedon,Aves,22.4,NA,1,NA,2,4
