SCIENTIFIC_NAME_tree,TipLabel,COMMON_NAME_tree,ebird_SCIENTIFIC_NAME,Taxonomy,Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc,matched
Megapodius affinis,Megapodius_affinis,New Guinea Megapode,Megapodius decollatus,BL3,Megapodiidae,Megapodiidae,Megapodes,7,GALLIFORMES,NONPASSERIFORMES,No
Colinus leucopogon,Colinus_leucopogon,Spot-bellied Bobwhite,Colinus cristatus,IOC27,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES,No
Phasianus versicolor,Phasianus_versicolor,Green Pheasant,Phasianus colchicus,IOC27,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES,No
Crossoptilon harmani,Crossoptilon_harmani,Tibetan Eared-pheasant,Crossoptilon crossoptilon,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES,No
Bonasa sewerzowi,Bonasa_sewerzowi,Chinese Grouse,Tetrastes sewerzowi,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES,No
Francolinus afer,Francolinus_afer,Red-necked Spurfowl,Pternistis afer,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES,No
Francolinus camerunensis,Francolinus_camerunensis,Mount Cameroon Francolin,Pternistis camerunensis,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES,No
Lophura hoogerwerfi,Lophura_hoogerwerfi,Aceh Pheasant,Lophura inornata,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES,No
Lophura hatinhensis,Lophura_hatinhensis,Vietnamese Pheasant,Lophura edwardsi,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES,No
Francolinus africanus,Francolinus_africanus,Grey-winged Francolin,Scleroptila afra,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES,No
Francolinus rufopictus,Francolinus_rufopictus,Grey-breasted Spurfowl,Pternistis rufopictus,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES,No
Francolinus swainsonii,Francolinus_swainsonii,Swainson's Spurfowl,Pternistis swainsonii,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES,No
Francolinus griseostriatus,Francolinus_griseostriatus,Grey-striped Francolin,Pternistis griseostriatus,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES,No
Francolinus lathami,Francolinus_lathami,Forest Francolin,Peliperdix lathami,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES,No
Francolinus leucoscepus,Francolinus_leucoscepus,Yellow-necked Spurfowl,Pternistis leucoscepus,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES,No
Anas rhynchotis,Anas_rhynchotis,Australasian Shoveler,Spatula rhynchotis,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES,No
Thalassarche steadi,Thalassarche_steadi,White-capped Albatross,Thalassarche cauta,BL3,Procellariidae,Diomedeidae,Albatrosses,17,PROCELLARIIFORMES,NONPASSERIFORMES,No
Thalassarche impavida,Thalassarche_impavida,Campbell Albatross,Thalassarche melanophris,BL3,Procellariidae,Diomedeidae,Albatrosses,17,PROCELLARIIFORMES,NONPASSERIFORMES,No
Thalassarche carteri,Thalassarche_carteri,Indian Yellow-nosed Albatross,Thalassarche chlororhynchos,BL3,Procellariidae,Diomedeidae,Albatrosses,17,PROCELLARIIFORMES,NONPASSERIFORMES,No
Diomedea dabbenena,Diomedea_dabbenena,Tristan Albatross,Diomedea exulans,BL3,Procellariidae,Diomedeidae,Albatrosses,17,PROCELLARIIFORMES,NONPASSERIFORMES,No
Diomedea sanfordi,Diomedea_sanfordi,Northern Royal Albatross,Diomedea epomophora,BL3,Procellariidae,Diomedeidae,Albatrosses,17,PROCELLARIIFORMES,NONPASSERIFORMES,No
Diomedea antipodensis,Diomedea_antipodensis,Antipodean Albatross,Diomedea exulans,BL3,Procellariidae,Diomedeidae,Albatrosses,17,PROCELLARIIFORMES,NONPASSERIFORMES,No
Diomedea amsterdamensis,Diomedea_amsterdamensis,Amsterdam Albatross,Diomedea exulans,BL3,Procellariidae,Diomedeidae,Albatrosses,17,PROCELLARIIFORMES,NONPASSERIFORMES,No
Pterodroma caribbaea,Pterodroma_caribbaea,Jamaica Petrel,Pterodroma hasitata,BL3,Procellariidae,Procellariidae,Petrels and shearwaters,18,PROCELLARIIFORMES,NONPASSERIFORMES,No
Oceanites maorianus,Oceanites_maorianus,New Zealand Storm-petrel,Fregetta maoriana,BL3,Procellariidae,Hydrobatidae,Storm-petrels,19,PROCELLARIIFORMES,NONPASSERIFORMES,No
Halocyptena microsoma,Halocyptena_microsoma,Least Storm-petrel,Oceanodroma microsoma,BL3,Procellariidae,Hydrobatidae,Storm-petrels,19,PROCELLARIIFORMES,NONPASSERIFORMES,No
Threskiornis bernieri,Threskiornis_bernieri,Madagascar Sacred Ibis,Threskiornis aethiopicus,BL3,Threskiornithidae,Threskiornithidae,Ibises and spoonbills,24,PELECANIFORMES,NONPASSERIFORMES,No
Phalacrocorax africanus,Phalacrocorax_africanus,Reed Cormorant,Microcarbo africanus,BL3,Phalacrocoracidae,Phalacrocoracidae,Cormorants,32,SULIFORMES,NONPASSERIFORMES,No
Falco pelegrinoides,Falco_pelegrinoides,Barbary Falcon,Falco peregrinus,BL3,Falconidae,Falconidae,Falcons and caracaras,35,FALCONIFORMES,NONPASSERIFORMES,No
Accipiter erythronemius,Accipiter_erythronemius,Rufous-thighed Hawk,Accipiter striatus,IOC27,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Chondrohierax wilsonii,Chondrohierax_wilsonii,Cuban Kite,Chondrohierax uncinatus,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Aquila africanus,Aquila_africanus,Cassin's Hawk-eagle,Aquila africana,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Circus macrosceles,Circus_macrosceles,Madagascar Harrier,Polyboroides radiatus,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Accipiter ventralis,Accipiter_ventralis,Plain-breasted Hawk,Accipiter striatus,IOC27,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Buteo polyosoma,Buteo_polyosoma,Red-backed Hawk,Geranoaetus polyosoma,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Accipiter chilensis,Accipiter_chilensis,Chilean Hawk,Accipiter bicolor,IOC27,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Accipiter chionogaster,Accipiter_chionogaster,White-breasted Hawk,Accipiter striatus,IOC27,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Gyps rueppellii,Gyps_rueppellii,Rueppell's Vulture,Gyps rueppelli,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Ichthyophaga humilis,Ichthyophaga_humilis,Lesser Fish-eagle,Haliaeetus humilis,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Ichthyophaga ichthyaetus,Ichthyophaga_ichthyaetus,Grey-headed Fish-eagle,Haliaeetus ichthyaetus,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Harpyhaliaetus coronatus,Harpyhaliaetus_coronatus,Crowned Eagle,Stephanoaetus coronatus,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Hieraaetus spilogaster,Hieraaetus_spilogaster,African Hawk-eagle,Aquila spilogaster,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Leucopternis schistaceus,Leucopternis_schistaceus,Slate-coloured Hawk,Buteogallus schistaceus,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Leucopternis occidentalis,Leucopternis_occidentalis,Grey-backed Hawk,Pseudastur occidentalis,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Eupodotis rueppellii,Eupodotis_rueppellii,Rueppell's Bustard,Eupodotis rueppelii,BL3,Otididae,Otididae,Bustards,37,OTIDIFORMES,NONPASSERIFORMES,No
Porzana atra,Porzana_atra,Henderson Crake,Zapornia atra,BL3,Rallidae,Rallidae,"Rails, crakes and allies",42,GRUIFORMES,NONPASSERIFORMES,No
Aramides cajanea,Aramides_cajanea,Grey-necked Wood-rail,Aramides cajaneus,BL3,Rallidae,Rallidae,"Rails, crakes and allies",42,GRUIFORMES,NONPASSERIFORMES,No
Gallinula mortierii,Gallinula_mortierii,Tasmanian Native-hen,Tribonyx mortierii,BL3,Rallidae,Rallidae,"Rails, crakes and allies",42,GRUIFORMES,NONPASSERIFORMES,No
Laterallus tuerosi,Laterallus_tuerosi,Junin Rail,Laterallus jamaicensis,BL3,Rallidae,Rallidae,"Rails, crakes and allies",42,GRUIFORMES,NONPASSERIFORMES,No
Gallinula ventralis,Gallinula_ventralis,Black-tailed Native-hen,Tribonyx ventralis,BL3,Rallidae,Rallidae,"Rails, crakes and allies",42,GRUIFORMES,NONPASSERIFORMES,No
Fulica caribaea,Fulica_caribaea,Caribbean Coot,Fulica americana,BL3,Rallidae,Rallidae,"Rails, crakes and allies",42,GRUIFORMES,NONPASSERIFORMES,No
Rostratula semicollaris,Rostratula_semicollaris,South American Painted-snipe,Nycticryphes semicollaris,BL3,Scolopaci,Rostratulidae,Painted-snipes,55,CHARADRIIFORMES,NONPASSERIFORMES,No
Heteroscelus brevipes,Heteroscelus_brevipes,Grey-tailed Tattler,Tringa brevipes,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES,No
