SCIENTIFIC_NAME_tree,TipLabel,COMMON_NAME_tree,Taxonomy,Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc,matched
Megapodius affinis,Megapodius_affinis,New Guinea Megapode,BL3,Megapodiidae,Megapodiidae,Megapodes,7,GALLIFORMES,NONPASSERIFORMES,No
Colinus leucopogon,Colinus_leucopogon,Spot-bellied Bobwhite,IOC27,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES,No
Phasianus versicolor,Phasianus_versicolor,Green Pheasant,IOC27,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES,No
Crossoptilon harmani,Crossoptilon_harmani,Tibetan Eared-pheasant,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES,No
Bonasa sewerzowi,Bonasa_sewerzowi,Chinese Grouse,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES,No
Francolinus afer,Francolinus_afer,Red-necked Spurfowl,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES,No
Francolinus camerunensis,Francolinus_camerunensis,Mount Cameroon Francolin,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES,No
Lophura hoogerwerfi,Lophura_hoogerwerfi,Aceh Pheasant,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES,No
Lophura hatinhensis,Lophura_hatinhensis,Vietnamese Pheasant,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES,No
Francolinus africanus,Francolinus_africanus,Grey-winged Francolin,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES,No
Francolinus rufopictus,Francolinus_rufopictus,Grey-breasted Spurfowl,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES,No
Francolinus swainsonii,Francolinus_swainsonii,Swainson's Spurfowl,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES,No
Francolinus griseostriatus,Francolinus_griseostriatus,Grey-striped Francolin,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES,No
Francolinus lathami,Francolinus_lathami,Forest Francolin,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES,No
Francolinus leucoscepus,Francolinus_leucoscepus,Yellow-necked Spurfowl,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES,No
Anas rhynchotis,Anas_rhynchotis,Australasian Shoveler,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES,No
Thalassarche steadi,Thalassarche_steadi,White-capped Albatross,BL3,Procellariidae,Diomedeidae,Albatrosses,17,PROCELLARIIFORMES,NONPASSERIFORMES,No
Thalassarche impavida,Thalassarche_impavida,Campbell Albatross,BL3,Procellariidae,Diomedeidae,Albatrosses,17,PROCELLARIIFORMES,NONPASSERIFORMES,No
Thalassarche carteri,Thalassarche_carteri,Indian Yellow-nosed Albatross,BL3,Procellariidae,Diomedeidae,Albatrosses,17,PROCELLARIIFORMES,NONPASSERIFORMES,No
Diomedea dabbenena,Diomedea_dabbenena,Tristan Albatross,BL3,Procellariidae,Diomedeidae,Albatrosses,17,PROCELLARIIFORMES,NONPASSERIFORMES,No
Diomedea sanfordi,Diomedea_sanfordi,Northern Royal Albatross,BL3,Procellariidae,Diomedeidae,Albatrosses,17,PROCELLARIIFORMES,NONPASSERIFORMES,No
Diomedea antipodensis,Diomedea_antipodensis,Antipodean Albatross,BL3,Procellariidae,Diomedeidae,Albatrosses,17,PROCELLARIIFORMES,NONPASSERIFORMES,No
Diomedea amsterdamensis,Diomedea_amsterdamensis,Amsterdam Albatross,BL3,Procellariidae,Diomedeidae,Albatrosses,17,PROCELLARIIFORMES,NONPASSERIFORMES,No
Pterodroma caribbaea,Pterodroma_caribbaea,Jamaica Petrel,BL3,Procellariidae,Procellariidae,Petrels and shearwaters,18,PROCELLARIIFORMES,NONPASSERIFORMES,No
Oceanites maorianus,Oceanites_maorianus,New Zealand Storm-petrel,BL3,Procellariidae,Hydrobatidae,Storm-petrels,19,PROCELLARIIFORMES,NONPASSERIFORMES,No
Halocyptena microsoma,Halocyptena_microsoma,Least Storm-petrel,BL3,Procellariidae,Hydrobatidae,Storm-petrels,19,PROCELLARIIFORMES,NONPASSERIFORMES,No
Threskiornis bernieri,Threskiornis_bernieri,Madagascar Sacred Ibis,BL3,Threskiornithidae,Threskiornithidae,Ibises and spoonbills,24,PELECANIFORMES,NONPASSERIFORMES,No
Phalacrocorax africanus,Phalacrocorax_africanus,Reed Cormorant,BL3,Phalacrocoracidae,Phalacrocoracidae,Cormorants,32,SULIFORMES,NONPASSERIFORMES,No
Falco pelegrinoides,Falco_pelegrinoides,Barbary Falcon,BL3,Falconidae,Falconidae,Falcons and caracaras,35,FALCONIFORMES,NONPASSERIFORMES,No
Accipiter erythronemius,Accipiter_erythronemius,Rufous-thighed Hawk,IOC27,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Chondrohierax wilsonii,Chondrohierax_wilsonii,Cuban Kite,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Aquila africanus,Aquila_africanus,Cassin's Hawk-eagle,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
