Species;resident.km2;breeding.km2;non-breeding.km2;passage.km2;range.size.km2
Abeillia abeillei;144606.517;;;;144606.517
Abroscopus albogularis;1704684.41;;;;1704684.41
Abroscopus schisticeps;909172.662;;;;909172.662
Abroscopus superciliaris;2493826.673;;;;2493826.673
Aburria aburri;138834.4101;;;;138834.4101
Acanthagenys rufogularis;5977037.504;;;;5977037.504
Acanthidops bairdi;4712.631834;;;;4712.631834
Acanthis flammea;13345457.17;6176746.024;22773623.03;;42295826.22
Acanthisitta chloris;152676.7425;;;;152676.7425
Acanthiza apicalis;4125098.008;;;;4125098.008
Acanthiza chrysorrhoa;4607070.382;;;;4607070.382
Acanthiza cinerea;121711.7898;;;;121711.7898
Acanthiza ewingii;68162.42951;;;;68162.42951
Acanthiza inornata;137642.2863;;;;137642.2863
Acanthiza iredalei;987267.6317;;;;987267.6317
Acanthiza katherina;58206.81293;;;;58206.81293
Acanthiza lineata;1044260.227;;;;1044260.227
Acanthiza murina;82940.22009;;;;82940.22009
Acanthiza nana;2021841.926;;;;2021841.926
Acanthiza pusilla;1132592.513;;;;1132592.513
Acanthiza reguloides;1843886.082;;;;1843886.082
Acanthiza robustirostris;2061886.359;;;;2061886.359
Acanthiza uropygialis;4789420.161;;;;4789420.161
Acanthoptila nipalensis;30851.46393;;;;30851.46393
Acanthorhynchus superciliosus;182506.7115;;;;182506.7115
Acanthorhynchus tenuirostris;764105.8415;;;;764105.8415
Acanthornis magna;44214.11375;;;;44214.11375
Accipiter albogularis;37280.54767;;;;37280.54767
Accipiter badius;20728490.92;1666905.245;492591.8709;;22887988.03
Accipiter bicolor;14309618.77;;;;14309618.77
Accipiter brachyurus;20211.34984;;;;20211.34984
Accipiter brevipes;;2936106.348;1763522.417;;4699628.765
Accipiter butleri;320.193222;;;;320.193222
Accipiter castanilius;2096491.559;;;;2096491.559
Accipiter cirrocephalus;5489268.276;;;;5489268.276
Accipiter collaris;253153.7315;;;;253153.7315
Accipiter cooperii;6037524.373;2354671.131;2095401.271;86.552485;10487683.33
Accipiter erythrauchen;48149.06872;;;;48149.06872
Accipiter erythropus;3904842.611;;;;3904842.611
Accipiter fasciatus;8180566.877;;;;8180566.877
Accipiter francesiae;519360.1154;;;;519360.1154
